"a27b4dc0-c6cf-012f-fa8e-3c075448cc4b",39960,"Abraham Lincoln collection, 1847-1864","","Lincoln, Abraham, 1809-1865",1842,1842,1864,"English","Collection consists of original documents, photostats, facsimiles, and clippings concerning Lincoln. Papers include Lincoln's correspondence (some with generals in Union Army), notes, legal papers, military orders, and related items. Clippings are from newspapers and catalogs.","","","Lincoln, Abraham, 1809-1865","","","","text | still image","Archival materials","b11904001","","MssCol 1761","","","","","","","1.5 linear feet (5 boxes, 1 v.)","","","",28,"http://digitalcollections.nypl.org/collections/a27b4dc0-c6cf-012f-fa8e-3c075448cc4b"
"1add7860-c6d0-012f-80df-58d385a7bc34",39966,"Tarjumah-i Suwar al-kawâkib = A Translation of The Patterns of the Stars.","","Sûfî, 'Abd al-Rahmân ibn 'Umar (903-986) | Muhammad Bâqir al-Hâfiz (fl. 1630-1633) | Hasan ibn Sa'd al-Qâ'înî (fl. 1633) | Abû al-Fath Manûchihr Khân, governor-general of Mashhad (fl. 1624-1664)","1040-1042 [1630-1633]",1040,"","","","General Note: Incipit:  ammâ ba'd chûn markaz-i dâirah-i sargardânî Hasan ibn Sa'd al-Qâ'înî ...","Manuscripts, Persian","","","","","still image","","","","Spencer Coll. Pers. ms. 6","","","","","","","Cream polished paper and sized cotton. 189 folios. 39.6 x 24 cm.  Fine nashkh with key phrases in red.  81 ills. (?)","","","Mashhad?",1,"http://digitalcollections.nypl.org/collections/1add7860-c6d0-012f-80df-58d385a7bc34"
"94e61950-c6d0-012f-5b88-58d385a7bc34",39975,"Maps of Asia","","","","","","","","","","","","","","","","","","","","","","","","","","","","",64,"http://digitalcollections.nypl.org/collections/94e61950-c6d0-012f-5b88-58d385a7bc34"
"9f86c7b0-c6d0-012f-f3ba-58d385a7bc34",39976,"Under the Red Cross flag at home and abroad : base hospital unit #44, evacuation hospital #5","","Anderson, Ethel",1918,1918,1919,"","","General Note: Leather-bound album (lacking spine) with black kraft paper pages. Title, compiler's name and drawing of a caduceus with letters for the Army Nurse Corps on first leaf.  Color drawing of flags of 14 allied countries on second leaf.  Snapshots, commercial photographs, collotypes and drawings interspersed with excerpts of Ethel Anderson's diary, poetry and captions, in white ink.  On separate sheet is photo-collage of portraits of nurses and view of a hosptial sent to Anderson as a greeting before she was sent overseas. Diary entries begin April 6, 1918 when Anderson reported for duty and was sent to Camp Upton, Yaphank, L.I. and end with April 20, 1919 when she returned on the S.S. Mobile to the U.S.  Entries detail conditions in camp and hospital, camp life, French and Belgian scenery and the war's destruction, activities, outings, dances, Christmas 1918, and a 14-day leave to the south of France and Monte-Carlo.  Poetry includes works by friends or colleagues  of Anderson, and Henry Van Dyke, Elsie Janis and unidentified authors.  Inserted in the album is a letter of recognition to nurses from Thomas J. Leary, Commander of Evacuation Hospital No.5. Anonymous gift, 1980.","World War, 1914-1918 | Diaries","","","","","still image | text","Drawings | Photographs | Diaries","b12318097","","MFZ (Anderson) 94-343","","","","","","NYPG94-F114","25 x 31 cm.","","","",97,"http://digitalcollections.nypl.org/collections/9f86c7b0-c6d0-012f-f3ba-58d385a7bc34"
"d20d0f80-c6d0-012f-a6e5-58d385a7bc34",39979,"Historiae naturalis de quadrupetibus libri.","","Jonston, John (1603-1675)","1655",1655,"","","","","Zoology | Extinct animals","","","","","still image","Engravings","b15398144","","QN++ (Jonston, J. Historiae naturalis de quadrupetibus libri)","","","","","","","ill.","","Francofurti ad Moenum","",76,"http://digitalcollections.nypl.org/collections/d20d0f80-c6d0-012f-a6e5-58d385a7bc34"
"e4f69750-c6d0-012f-792f-58d385a7bc34",39980,"Frank E. Downs. Trip to Nome, Alaska, May to Sept. 1900. [An album of mounted photographs.]","","","1903-[19]04",1903,"","","","General Note: Includes also photographs taken in western and southwestern United States, Mexico, Maine and the Netherlands.","","","","","","still image","","b10434525","","IW 76-2288","","","","","","NYPG774640291-B","1 v. of illus. (unpaged) 25 x 30 cm.","","","Bristol, Conn.",96,"http://digitalcollections.nypl.org/collections/e4f69750-c6d0-012f-792f-58d385a7bc34"
"0c49ab30-c6d1-012f-6c0e-58d385a7bc34",39983,"Haiti: Miscellaneous Collections","","",1785,1785,1970,"French","Fugitive Slaves, Turks and Caicos Islands, 1821. Instructions from C. Rawley, Rear Admiral and Commander-in-Chief of the British fleet in Jamaica, to William Wiseman on a mission to Haiti to negotiate the return of fugitive slaves who had fled there from the Turks Islands salt ponds. Included is a brief letter from Haiti's president Jean-Pierre Boyer, declaring any individual on Haitian soil automatically free and beyond pursuit. Correspondence and other documents of Comte de Leaumont, Saint-Domingue-born ex-plantation owner and president of an association of former French settlers dispossessed by the Haitian revolution, including a memoir by Georges Christophe Wurtz, a medical doctor, ""on the means to repair the harm done to French trade by the insurrection in Saint-Domingue"" (1802-1822). Slave ship La Concorde, 1790-1792: documents related to a legal dispute between a businessman in Cap Français in Saint-Domingue and the captain of the slave ship La Concorde. Toussaint-Louverture correspondence and documents ranging from 1796 to 1802, including a partial register of ordinances and proclamations issued by Toussaint-Louverture as General-in-chief of the army of Saint-Domingue in April 1796, and the text of a November 1801 decree strengthening military order and maintaining the former slaves on the plantations in the aftermath of an insurrection led by his nephew, General Moyse. ""Notes on Saint-Domingue"" (52 p.), a manuscript document written before 1791 giving the physical description of the main towns and localities in the former French colony of Saint-Domingue. Diplomatic correspondence includes 35 letters from the Haitian Legation in Paris to the Haitian Ministry of Foreign Relations, 1911-1914, relating to the purchase of 10,000 guns and 500,000 rounds of ammunition in France, and to a 36-hour British ultimatum to the Haitian government. Also a group of letters from the Haitian Legation in Ciudad Trujillo (Santo Domingo) that give a sense of the general situation between the two countries prior to the October 1937 massacre of 10,000 Haitians in the Dominican Republic. The collection consists of individual items and small groups of Haitian documents mostly from the 18th and 19th centuries. It includes miscellaneous correspondence of Etienne Polvérel and Félicité Sonthonax, members of the Civil Commission sent by the French government to the Windward Islands ""to restore order and tranquillity"" in 1793, and of various Haitian heads of state, among them Nissage Saget (1874), Lysius Félicité Salomon (1883) and Tirésias Simon Sam (1897). Also included are a 1778 inventory listing the names, age, trades and physical condition of 149 slaves on the Beaugé Plantation in the former French colony of Saint-Domingue; a 1785 manumission certificate for Jeanne Aline, a sixteen year-old slave girl; miscellaneous French colonial administration documents ranging from 1791 to 1803; two letters from Henri Christophe to Tobias Lear, U.S. Consul to Saint-Domingue in 1802, and to Corneille Brelle, a French priest appointed Grand Almoner and Archbishop of Haiti in 1811; 1830s Masonic certificates from the Grande Loge d'Haiti; and a group of six autograph letters with attachments from the Haitian surrealist poet Clément Magloire-Saint-Aude (1968-1970).","","Haiti | History","","Haiti | Saint-Domingue","","","text | still image","Documents | Correspondence","b16542740","","Sc MG 119","","","","","","","4 lin. ft","","","",53,"http://digitalcollections.nypl.org/collections/0c49ab30-c6d1-012f-6c0e-58d385a7bc34"
"e70163b0-c6d0-012f-9a14-3c075448cc4b",39986,"Africans at home; being a popular description of Africa and the Africans condensed from the accounts of African travellers from the time of Mungo Park to the present day","","Macbrair, R. Maxwell (Robert Maxwell)","1861",1861,"","English","","","","","Africa","","","text","Books | Illustrations","b11716630","","Sc Rare 916.6-M (Macbrair, R. Africans at home)","","","","","","NYPGR10700284-B","xx, 396 p. front., illus., plates, fold. map. 19 cm.","Engravings","Longman, Green, Longman, and Roberts","London",36,"http://digitalcollections.nypl.org/collections/e70163b0-c6d0-012f-9a14-3c075448cc4b"
"6d90b620-c6d1-012f-80dd-58d385a7bc34",39990,"Interborough rapid transit; the New York subway, its construction and equipment.","","Interborough Rapid Transit Company","1904",1904,"","","","Ownership and Custodial History Note: Parsons Collection","Subways","","New York (State) | New York","","","still image","Halftone photomechanical prints","b13658601","","(Parsons) VDCP+ (Interborough Rapid Transit Company.  Interborough rapid transit)","","","","","","2427927","4 p. l., [13]-150, [4] p., 1 l. incl. front., illus., map, plan, diagrs. 36 cm.","","New York Interborough Rapid Transit Company","New York",96,"http://digitalcollections.nypl.org/collections/6d90b620-c6d1-012f-80dd-58d385a7bc34"
"7f0946b0-c6d1-012f-62ee-58d385a7bc34",39991,"The highlands of the Hudson.","","","1914",1914,"","","","","","","","","","","","b13950660","","MFZ+ (Howell) 96-4318","","","","","","","1 v. of photos. (part col''d.) 37 x 46 cm.","","","New York?",74,"http://digitalcollections.nypl.org/collections/7f0946b0-c6d1-012f-62ee-58d385a7bc34"
